Mes;Região;Empresa;Manifestacao;Item;Quantidade
01/2017;RMSP;ABC;Reclamação;Direção Perigosa;1
01/2017;RMSP;ABC;Reclamação;Horário;4
01/2017;RMSP;ABC;Reclamação;Inobservância de Ponto;3
01/2017;RMSP;ABC;Reclamação;Passageiro Especial;1
01/2017;RMSP;ABC;Reclamação;Tripulação/Funcionário;2
01/2017;RMSP;ABC;Reclamação;Veículo;1
01/2017;RMSP;ABC SISTEMA-Metra;Elogio;Atendimento;1
01/2017;RMSP;ABC SISTEMA-Metra;Informação;Itinerário;1
01/2017;RMSP;ABC SISTEMA-Metra;Informação;Serviços;3
01/2017;RMSP;ABC SISTEMA-Metra;Informação;Tarifa;1
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Direção Perigosa;1
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Horário;12
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Inobservância de Ponto;4
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Mau Atendimento ao Idoso;2
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Serviços;2
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Superlotação;4
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Terminal;4
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Tripulação/Funcionário;12
01/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Veículo;11
01/2017;RMSP;ABC SISTEMA-Metra;Sugestão;Itinerário;1
01/2017;RMSP;ABC SISTEMA-Metra;Sugestão;Terminal;1
01/2017;RMSP;ABC SISTEMA-Metra;Sugestão;Veículo;1
01/2017;RMVPLN;ABC TRANSPORTES;Informação;Horário;1
01/2017;RMVPLN;ABC TRANSPORTES;Informação;Tarifa;1
01/2017;RMVPLN;ABC TRANSPORTES;Reclamação;Horário;7
01/2017;RMVPLN;ABC TRANSPORTES;Reclamação;Tarifa;2
01/2017;RMVPLN;ABC TRANSPORTES;Reclamação;Terminal;1
01/2017;RMSP;ANHANGUERA;Informação;Horário;1
01/2017;RMSP;ANHANGUERA;Informação;Itinerário;1
01/2017;RMSP;ANHANGUERA;Informação;Serviços;9
01/2017;RMSP;ANHANGUERA;Reclamação;Direção Perigosa;6
01/2017;RMSP;ANHANGUERA;Reclamação;Horário;59
01/2017;RMSP;ANHANGUERA;Reclamação;Inobservância de Ponto;26
01/2017;RMSP;ANHANGUERA;Reclamação;Itinerário;4
01/2017;RMSP;ANHANGUERA;Reclamação;Serviços;2
01/2017;RMSP;ANHANGUERA;Reclamação;Superlotação;4
01/2017;RMSP;ANHANGUERA;Reclamação;Tarifa;7
01/2017;RMSP;ANHANGUERA;Reclamação;Terminal;1
01/2017;RMSP;ANHANGUERA;Reclamação;Tripulação/Funcionário;33
01/2017;RMSP;ANHANGUERA;Reclamação;Veículo;7
01/2017;RMSP;ANHANGUERA;Sugestão;Itinerário;1
01/2017;RMSP;ANHANGUERA;Sugestão;Tarifa;1
01/2017;RMC;BOA VISTA;Informação;Greve;4
01/2017;RMC;BOA VISTA;Informação;Horário;1
01/2017;RMC;BOA VISTA;Informação;Itinerário;1
01/2017;RMC;BOA VISTA;Informação;Serviços;4
01/2017;RMC;BOA VISTA;Reclamação;Atendimento;1
01/2017;RMC;BOA VISTA;Reclamação;Horário;50
01/2017;RMC;BOA VISTA;Reclamação;Inobservância de Ponto;4
01/2017;RMC;BOA VISTA;Reclamação;Itinerário;2
01/2017;RMC;BOA VISTA;Reclamação;Tarifa;1
01/2017;RMC;BOA VISTA;Reclamação;Tripulação/Funcionário;6
01/2017;RMC;BOA VISTA;Reclamação;Veículo;2
01/2017;RMC;BOA VISTA;Sugestão;Tripulação/Funcionário;2
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Elogio;Atendimento;2
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Carteira Passageiro Especial;2
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Horário;2
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Isenção de Tarifa;1
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Passe Escolar;2
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Serviços;7
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Vale-Transporte;8
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Atendimento;3
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Direção Perigosa;3
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Horário;21
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Inobservância de Ponto;18
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Integração;5
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Itinerário;7
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Mau Atendimento ao Idoso;1
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Passageiro Especial;5
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Superlotação;7
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Tarifa;5
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Terminal;1
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Tripulação/Funcionário;18
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Vale-Transporte;1
01/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Veículo;9
01/2017;RMBS;BR MOBILIDADE VLT;Informação;Itinerário;1
01/2017;RMBS;BR MOBILIDADE VLT;Reclamação;Inobservância de Ponto;2
01/2017;RMBS;BR MOBILIDADE VLT;Reclamação;Tarifa;1
01/2017;RMBS;BR MOBILIDADE VLT;Reclamação;Tripulação/Funcionário;1
01/2017;RMBS;BR MOBILIDADE VLT;Sugestão;Serviços;1
01/2017;RMVPLN;BREDA SERVIÇOS;Reclamação;Horário;1
01/2017;RMVPLN;BREDA SERVIÇOS;Reclamação;Serviços;1
01/2017;RMVPLN;BREDA SERVIÇOS;Reclamação;Tarifa;1
01/2017;RMVPLN;BREDA SERVIÇOS;Reclamação;Veículo;1
01/2017;RMVPLN;CINTER;Informação;Tarifa;1
01/2017;RMVPLN;CINTER;Reclamação;Superlotação;1
01/2017;RMSP;CMT;Informação;Integração;5
01/2017;RMSP;CMT;Informação;Passe Escolar;6
01/2017;RMSP;CMT;Informação;Serviços;27
01/2017;RMSP;CMT;Informação;Tarifa;4
01/2017;RMSP;CMT;Informação;Vale-Transporte;17
01/2017;RMSP;CMT;Reclamação;Atendimento;1
01/2017;RMSP;CMT;Reclamação;Integração;5
01/2017;RMSP;CMT;Reclamação;Serviços;5
01/2017;RMSP;CMT;Reclamação;Tarifa;5
01/2017;RMSP;CMT;Reclamação;Terminal;1
01/2017;RMSP;CMT;Reclamação;Tripulação/Funcionário;1
01/2017;RMSP;CMT;Reclamação;Vale-Transporte;4
01/2017;RMSP;EAOSA;Informação;Itinerário;1
01/2017;RMSP;EAOSA;Reclamação;Horário;11
01/2017;RMSP;EAOSA;Reclamação;Inobservância de Ponto;1
01/2017;RMSP;EAOSA;Reclamação;Tripulação/Funcionário;3
01/2017;RMSP;EAOSA;Reclamação;Veículo;1
01/2017;RMSP;Empresa Municipal;Elogio;Atendimento;1
01/2017;RMSP;Empresa Municipal;Reclamação;Tripulação/Funcionário;1
01/2017;RMBS;EMTU;Informação;Carteira Passageiro Especial;22
01/2017;RMSP;EMTU;Informação;Carteira Passageiro Especial;11
01/2017;RMS;EMTU;Informação;Carteira Passageiro Especial;7
01/2017;RMC;EMTU;Informação;Carteira Passageiro Especial;1
01/2017;RMC;EMTU;Informação;Greve;5
01/2017;RMSP;EMTU;Informação;Horário;17
01/2017;RMBS;EMTU;Informação;Horário;3
01/2017;RMS;EMTU;Informação;Horário;1
01/2017;RMC;EMTU;Informação;Horário;1
01/2017;RMSP;EMTU;Informação;Integração;27
01/2017;RMSP;EMTU;Informação;Itinerário;36
01/2017;RMC;EMTU;Informação;Itinerário;1
01/2017;RMVPLN;EMTU;Informação;Itinerário;1
01/2017;RMBS;EMTU;Informação;Itinerário;1
01/2017;RMSP;EMTU;Informação;Passe Desempregado;2
01/2017;RMSP;EMTU;Informação;Passe Escolar;1146
01/2017;RMBS;EMTU;Informação;Passe Escolar;118
01/2017;RMVPLN;EMTU;Informação;Passe Escolar;58
01/2017;RMS;EMTU;Informação;Passe Escolar;41
01/2017;RMC;EMTU;Informação;Passe Escolar;38
01/2017;RMSP;EMTU;Informação;Passe Idoso;3
01/2017;RMVPLN;EMTU;Informação;Passe Idoso;1
01/2017;RMSP;EMTU;Informação;Serviços;105
01/2017;RMC;EMTU;Informação;Serviços;18
01/2017;RMBS;EMTU;Informação;Serviços;7
01/2017;RMS;EMTU;Informação;Serviços;3
01/2017;RMVPLN;EMTU;Informação;Serviços;3
01/2017;RMBS;EMTU;Informação;Serviços (VLT);1
01/2017;RMSP;EMTU;Informação;Tarifa;65
01/2017;RMC;EMTU;Informação;Tarifa;4
01/2017;RMS;EMTU;Informação;Tarifa;2
01/2017;RMBS;EMTU;Informação;Tarifa;2
01/2017;RMVPLN;EMTU;Informação;Tarifa;1
01/2017;RMSP;EMTU;Informação;Vale-Transporte;3
01/2017;RMC;EMTU;Informação;Vale-Transporte;2
01/2017;RMSP;EMTU;Reclamação;Atendimento;25
01/2017;RMC;EMTU;Reclamação;Atendimento;5
01/2017;RMBS;EMTU;Reclamação;Atendimento;5
01/2017;RMVPLN;EMTU;Reclamação;Atendimento;1
01/2017;RMSP;EMTU;Reclamação;Direção Perigosa;9
01/2017;RMSP;EMTU;Reclamação;Horário;1
01/2017;RMSP;EMTU;Reclamação;Inobservância de Ponto;2
01/2017;RMSP;EMTU;Reclamação;Integração;1
01/2017;RMSP;EMTU;Reclamação;Itinerário;9
01/2017;RMSP;EMTU;Reclamação;Mau Atendimento ao Idoso;2
01/2017;RMBS;EMTU;Reclamação;Passageiro Especial;4
01/2017;RMSP;EMTU;Reclamação;Passageiro Especial;1
01/2017;RMSP;EMTU;Reclamação;Passe Escolar;25
01/2017;RMVPLN;EMTU;Reclamação;Passe Escolar;2
01/2017;RMC;EMTU;Reclamação;Passe Escolar;1
01/2017;RMSP;EMTU;Reclamação;Serviços;9
01/2017;RMBS;EMTU;Reclamação;Serviços;2
01/2017;RMSP;EMTU;Reclamação;Superlotação;1
01/2017;RMSP;EMTU;Reclamação;Tarifa;5
01/2017;RMBS;EMTU;Reclamação;Tarifa;2
01/2017;RMS;EMTU;Reclamação;Tarifa;2
01/2017;RMS;EMTU;Reclamação;Transporte Irregular;1
01/2017;RMSP;EMTU;Reclamação;Tripulação/Funcionário;26
01/2017;RMSP;EMTU;Sugestão;Horário;20
01/2017;RMC;EMTU;Sugestão;Horário;5
01/2017;RMBS;EMTU;Sugestão;Horário;2
01/2017;RMVPLN;EMTU;Sugestão;Horário;2
01/2017;RMS;EMTU;Sugestão;Horário;1
01/2017;RMBS;EMTU;Sugestão;Integração;1
01/2017;RMSP;EMTU;Sugestão;Itinerário;25
01/2017;RMBS;EMTU;Sugestão;Itinerário;3
01/2017;RMC;EMTU;Sugestão;Itinerário;3
01/2017;RMBS;EMTU;Sugestão;Passe Escolar;1
01/2017;RMBS;EMTU;Sugestão;Serviços;1
01/2017;RMVPLN;EMTU;Sugestão;Terminal;1
01/2017;RMSP;EMTU;Sugestão;Terminal;1
01/2017;RMSP;EMTU;Sugestão;Vale-Transporte;1
01/2017;RMS;EMTU;Sugestão;Veículo;1
01/2017;RMVPLN;EMTU;Sugestão;Veículo;1
01/2017;RMSP;EUSA;Reclamação;Horário;3
01/2017;RMSP;EXPRESSO SBC;Reclamação;Horário;2
01/2017;RMSP;EXPRESSO SBC;Reclamação;Tripulação/Funcionário;1
01/2017;RMSP;IMIGRANTES;Informação;Serviços;1
01/2017;RMSP;IMIGRANTES;Reclamação;Atendimento;1
01/2017;RMSP;IMIGRANTES;Reclamação;Horário;5
01/2017;RMSP;IMIGRANTES;Reclamação;Inobservância de Ponto;2
01/2017;RMSP;IMIGRANTES;Reclamação;Veículo;1
01/2017;RMSP;INTERNORTE;Informação;Itinerário;5
01/2017;RMSP;INTERNORTE;Informação;Serviços;10
01/2017;RMSP;INTERNORTE;Informação;Tarifa;1
01/2017;RMSP;INTERNORTE;Reclamação;Atendimento;2
01/2017;RMSP;INTERNORTE;Reclamação;Direção Perigosa;4
01/2017;RMSP;INTERNORTE;Reclamação;Horário;30
01/2017;RMSP;INTERNORTE;Reclamação;Inobservância de Ponto;38
01/2017;RMSP;INTERNORTE;Reclamação;Itinerário;7
01/2017;RMSP;INTERNORTE;Reclamação;Mau Atendimento ao Idoso;1
01/2017;RMSP;INTERNORTE;Reclamação;Serviços;1
01/2017;RMSP;INTERNORTE;Reclamação;Superlotação;1
01/2017;RMSP;INTERNORTE;Reclamação;Terminal;2
01/2017;RMSP;INTERNORTE;Reclamação;Tripulação/Funcionário;21
01/2017;RMSP;INTERNORTE;Reclamação;Veículo;7
01/2017;RMSP;INTERNORTE;Sugestão;Horário;1
01/2017;RMSP;INTERNORTE;Sugestão;Terminal;1
01/2017;RMSP;INTERNORTE;Sugestão;Veículo;1
01/2017;RMSP;INTERVIAS;Elogio;Atendimento;4
01/2017;RMSP;INTERVIAS;Informação;Endereço;1
01/2017;RMSP;INTERVIAS;Informação;Greve;1
01/2017;RMSP;INTERVIAS;Informação;Itinerário;3
01/2017;RMSP;INTERVIAS;Informação;Serviços;4
01/2017;RMSP;INTERVIAS;Informação;Tarifa;1
01/2017;RMSP;INTERVIAS;Reclamação;Atendimento;2
01/2017;RMSP;INTERVIAS;Reclamação;Direção Perigosa;2
01/2017;RMSP;INTERVIAS;Reclamação;Horário;37
01/2017;RMSP;INTERVIAS;Reclamação;Inobservância de Ponto;24
01/2017;RMSP;INTERVIAS;Reclamação;Itinerário;4
01/2017;RMSP;INTERVIAS;Reclamação;Serviços;4
01/2017;RMSP;INTERVIAS;Reclamação;Superlotação;1
01/2017;RMSP;INTERVIAS;Reclamação;Tarifa;1
01/2017;RMSP;INTERVIAS;Reclamação;Terminal;2
01/2017;RMSP;INTERVIAS;Reclamação;Tripulação/Funcionário;28
01/2017;RMSP;INTERVIAS;Reclamação;Veículo;7
01/2017;RMVPLN;JACAREÍ;Reclamação;Horário;1
01/2017;RMVPLN;LITORANEA;Reclamação;Inobservância de Ponto;1
01/2017;RMVPLN;LITORANEA;Reclamação;Tripulação/Funcionário;1
01/2017;RMC;METROPOLIS;Reclamação;Direção Perigosa;1
01/2017;RMC;METROPOLIS;Reclamação;Horário;1
01/2017;RMSP;MOBIBRASIL TRANSPORTE;Informação;Serviços;1
01/2017;RMSP;MOBIBRASIL TRANSPORTE;Reclamação;Horário;4
01/2017;RMSP;MOBIBRASIL TRANSPORTE;Reclamação;Itinerário;1
01/2017;RMC;OURO VERDE;Informação;Horário;3
01/2017;RMC;OURO VERDE;Informação;Serviços;2
01/2017;RMC;OURO VERDE;Informação;Vale-Transporte;2
01/2017;RMC;OURO VERDE;Reclamação;Atendimento;1
01/2017;RMC;OURO VERDE;Reclamação;Direção Perigosa;1
01/2017;RMC;OURO VERDE;Reclamação;Horário;27
01/2017;RMC;OURO VERDE;Reclamação;Inobservância de Ponto;2
01/2017;RMC;OURO VERDE;Reclamação;Superlotação;2
01/2017;RMC;OURO VERDE;Reclamação;Transporte Irregular;1
01/2017;RMC;OURO VERDE;Reclamação;Tripulação/Funcionário;3
01/2017;RMC;OURO VERDE;Reclamação;Veículo;1
01/2017;RMSP;PARQUE DAS NAÇÕES;Reclamação;Horário;2
01/2017;RMSP;PARQUE DAS NAÇÕES;Reclamação;Inobservância de Ponto;1
01/2017;RMSP;PARQUE DAS NAÇÕES;Reclamação;Serviços;1
01/2017;RMVPLN;PASSARO MARRON;Reclamação;Horário;3
01/2017;RMVPLN;PASSARO MARRON;Reclamação;Tripulação/Funcionário;1
01/2017;RMSP;PUBLIX;Informação;Horário;1
01/2017;RMSP;PUBLIX;Informação;Serviços;1
01/2017;RMSP;PUBLIX;Reclamação;Atendimento;1
01/2017;RMSP;PUBLIX;Reclamação;Direção Perigosa;1
01/2017;RMSP;PUBLIX;Reclamação;Horário;6
01/2017;RMSP;PUBLIX;Reclamação;Inobservância de Ponto;3
01/2017;RMSP;PUBLIX;Reclamação;Itinerário;1
01/2017;RMSP;PUBLIX;Reclamação;Tripulação/Funcionário;2
01/2017;RMS;RÁPIDO LUXO CAMPINAS;Informação;Greve;1
01/2017;RMC;RÁPIDO LUXO CAMPINAS;Informação;Horário;2
01/2017;RMS;RÁPIDO LUXO CAMPINAS;Informação;Serviços;1
01/2017;RMC;RÁPIDO LUXO CAMPINAS;Informação;Vale-Transporte;1
01/2017;RMC;RÁPIDO LUXO CAMPINAS;Reclamação;Horário;14
01/2017;RMS;RÁPIDO LUXO CAMPINAS;Reclamação;Horário;1
01/2017;RMC;RÁPIDO LUXO CAMPINAS;Reclamação;Itinerário;2
01/2017;RMS;RÁPIDO LUXO CAMPINAS;Reclamação;Tarifa;1
01/2017;RMC;RÁPIDO LUXO CAMPINAS;Reclamação;Tripulação/Funcionário;1
01/2017;RMSP;RIACHO GRANDE;Reclamação;Direção Perigosa;2
01/2017;RMSP;RIACHO GRANDE;Reclamação;Horário;3
01/2017;RMSP;RIACHO GRANDE;Reclamação;Inobservância de Ponto;5
01/2017;RMSP;RIACHO GRANDE;Reclamação;Superlotação;2
01/2017;RMSP;RIACHO GRANDE;Reclamação;Tripulação/Funcionário;3
01/2017;RMSP;RIACHO GRANDE;Reclamação;Veículo;1
01/2017;RMSP;RIBEIRÃO PIRES;Reclamação;Atendimento;1
01/2017;RMSP;RIBEIRÃO PIRES;Reclamação;Horário;5
01/2017;RMSP;RIBEIRÃO PIRES;Reclamação;Itinerário;1
01/2017;RMSP;RIBEIRÃO PIRES;Reclamação;Tripulação/Funcionário;1
01/2017;RMSP;RIBEIRÃO PIRES;Reclamação;Veículo;2
01/2017;RMSP;RIGRAS;Reclamação;Horário;1
01/2017;RMSP;RIGRAS;Reclamação;Inobservância de Ponto;1
01/2017;RMSP;RIGRAS;Reclamação;Superlotação;3
01/2017;RMVPLN;RODOVIÁRIO SÃO JOSE;Sugestão;Veículo;1
01/2017;RMSP;SÃO CAMILO;Reclamação;Itinerário;1
01/2017;RMSP;SÃO CAMILO;Reclamação;Tripulação/Funcionário;1
01/2017;RMSP;TRANS BUS;Informação;Serviços;2
01/2017;RMSP;TRANS BUS;Reclamação;Horário;1
01/2017;RMSP;TRANS BUS;Reclamação;Inobservância de Ponto;1
01/2017;RMSP;TRANS BUS;Reclamação;Passageiro Especial;1
01/2017;RMSP;TRANS BUS;Reclamação;Tripulação/Funcionário;4
01/2017;RMSP;TRANS BUS;Reclamação;Veículo;1
01/2017;RMSP;TRIÂNGULO;Reclamação;Horário;5
01/2017;RMSP;TRIÂNGULO;Reclamação;Inobservância de Ponto;2
01/2017;RMSP;TRIÂNGULO;Reclamação;Tripulação/Funcionário;1
01/2017;RMSP;TUCURUVI;Reclamação;Direção Perigosa;1
01/2017;RMSP;TUCURUVI;Reclamação;Horário;1
01/2017;RMSP;UNILESTE;Informação;Horário;1
01/2017;RMSP;UNILESTE;Informação;Itinerário;1
01/2017;RMSP;UNILESTE;Informação;Serviços;1
01/2017;RMSP;UNILESTE;Reclamação;Atendimento;1
01/2017;RMSP;UNILESTE;Reclamação;Direção Perigosa;4
01/2017;RMSP;UNILESTE;Reclamação;Horário;108
01/2017;RMSP;UNILESTE;Reclamação;Inobservância de Ponto;6
01/2017;RMSP;UNILESTE;Reclamação;Itinerário;7
01/2017;RMSP;UNILESTE;Reclamação;Passageiro Especial;1
01/2017;RMSP;UNILESTE;Reclamação;Serviços;1
01/2017;RMSP;UNILESTE;Reclamação;Tarifa;3
01/2017;RMSP;UNILESTE;Reclamação;Tripulação/Funcionário;9
01/2017;RMSP;UNILESTE;Reclamação;Veículo;18
01/2017;RMC;VB TRANSPORTES;Informação;Horário;1
01/2017;RMC;VB TRANSPORTES;Informação;Serviços;1
01/2017;RMC;VB TRANSPORTES;Reclamação;Horário;21
01/2017;RMS;VB TRANSPORTES;Reclamação;Serviços;1
01/2017;RMC;VB TRANSPORTES;Reclamação;Superlotação;1
01/2017;RMC;VB TRANSPORTES;Reclamação;Tarifa;2
01/2017;RMC;VB TRANSPORTES;Reclamação;Tripulação/Funcionário;2
01/2017;RMC;VB TRANSPORTES;Reclamação;Veículo;1
01/2017;RMSP;VIPE;Reclamação;Horário;2
01/2017;RMSP;VIPE;Reclamação;Veículo;1
02/2017;RMSP;ABC;Informação;Passe Escolar;1
02/2017;RMSP;ABC;Informação;Serviços;1
02/2017;RMSP;ABC;Reclamação;Horário;2
02/2017;RMSP;ABC;Reclamação;Inobservância de Ponto;4
02/2017;RMSP;ABC;Reclamação;Tripulação/Funcionário;1
02/2017;RMSP;ABC;Reclamação;Veículo;1
02/2017;RMSP;ABC SISTEMA-Metra;Elogio;Atendimento;2
02/2017;RMSP;ABC SISTEMA-Metra;Informação;Horário;1
02/2017;RMSP;ABC SISTEMA-Metra;Informação;Passe Idoso;1
02/2017;RMSP;ABC SISTEMA-Metra;Informação;Serviços;8
02/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Direção Perigosa;1
02/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Horário;13
02/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Inobservância de Ponto;13
02/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Integração;1
02/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Itinerário;2
02/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Passageiro Especial;1
02/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Serviços;1
02/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Superlotação;6
02/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Tarifa;3
02/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Terminal;14
02/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Tripulação/Funcionário;21
02/2017;RMSP;ABC SISTEMA-Metra;Reclamação;Veículo;12
02/2017;RMSP;ABC SISTEMA-Metra;Sugestão;Itinerário;1
02/2017;RMVPLN;ABC TRANSPORTES;Reclamação;Horário;5
02/2017;RMSP;ANHANGUERA;Elogio;Atendimento;3
02/2017;RMSP;ANHANGUERA;Informação;Horário;2
02/2017;RMSP;ANHANGUERA;Informação;Integração;1
02/2017;RMSP;ANHANGUERA;Informação;Serviços;13
02/2017;RMSP;ANHANGUERA;Reclamação;Direção Perigosa;6
02/2017;RMSP;ANHANGUERA;Reclamação;Horário;36
02/2017;RMSP;ANHANGUERA;Reclamação;Inobservância de Ponto;22
02/2017;RMSP;ANHANGUERA;Reclamação;Itinerário;2
02/2017;RMSP;ANHANGUERA;Reclamação;Superlotação;9
02/2017;RMSP;ANHANGUERA;Reclamação;Tarifa;3
02/2017;RMSP;ANHANGUERA;Reclamação;Tripulação/Funcionário;39
02/2017;RMSP;ANHANGUERA;Reclamação;Veículo;7
02/2017;RMSP;ANHANGUERA;Sugestão;Serviços;1
02/2017;RMC;BOA VISTA;Informação;Horário;3
02/2017;RMC;BOA VISTA;Informação;Itinerário;1
02/2017;RMC;BOA VISTA;Informação;Passe Escolar;1
02/2017;RMC;BOA VISTA;Informação;Vale-Transporte;1
02/2017;RMC;BOA VISTA;Reclamação;Atendimento;2
02/2017;RMC;BOA VISTA;Reclamação;Horário;52
02/2017;RMC;BOA VISTA;Reclamação;Itinerário;1
02/2017;RMC;BOA VISTA;Reclamação;Superlotação;2
02/2017;RMC;BOA VISTA;Reclamação;Tripulação/Funcionário;2
02/2017;RMC;BOA VISTA;Reclamação;Veículo;1
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Integração;1
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Isenção de Tarifa;1
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Itinerário;3
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Passe Escolar;1
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Serviços;2
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Tarifa;1
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Informação;Vale-Transporte;1
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Atendimento;1
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Direção Perigosa;1
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Horário;9
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Inobservância de Ponto;6
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Tripulação/Funcionário;8
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Vale-Transporte;1
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Reclamação;Veículo;2
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Sugestão;Itinerário;1
02/2017;RMBS;BR MOBILIDADE EMPRESAS;Sugestão;Veículo;1
02/2017;RMBS;BR MOBILIDADE VLT;Reclamação;Tarifa;1
02/2017;RMBS;BR MOBILIDADE VLT;Reclamação;Tripulação/Funcionário;1
02/2017;RMBS;BREDA SERVIÇOS;Reclamação;Veículo;1
02/2017;RMVPLN;CINTER;Informação;Isenção de Tarifa;1
02/2017;RMSP;CMT;Informação;Isenção de Tarifa;1
02/2017;RMSP;CMT;Informação;Passe Escolar;6
02/2017;RMSP;CMT;Informação;Serviços;20
02/2017;RMSP;CMT;Informação;Tarifa;3
02/2017;RMSP;CMT;Informação;Telefone;4
02/2017;RMSP;CMT;Informação;Vale-Transporte;21
02/2017;RMSP;CMT;Reclamação;Serviços;1
02/2017;RMSP;CMT;Reclamação;Tarifa;2
02/2017;RMSP;CMT;Reclamação;Tripulação/Funcionário;1
02/2017;RMSP;CMT;Reclamação;Vale-Transporte;2
02/2017;RMSP;EAOSA;Reclamação;Horário;9
02/2017;RMSP;EAOSA;Reclamação;Tripulação/Funcionário;1
02/2017;RMBS;EMTU;Informação;Carteira Passageiro Especial;13
02/2017;RMSP;EMTU;Informação;Carteira Passageiro Especial;12
02/2017;RMS;EMTU;Informação;Carteira Passageiro Especial;2
02/2017;RMC;EMTU;Informação;Carteira Passageiro Especial;1
02/2017;RMSP;EMTU;Informação;Endereço;1
02/2017;RMVPLN;EMTU;Informação;Endereço;1
02/2017;RMS;EMTU;Informação;Greve;3
02/2017;RMSP;EMTU;Informação;Horário;24
02/2017;RMS;EMTU;Informação;Horário;2
02/2017;RMBS;EMTU;Informação;Horário;1
02/2017;RMVPLN;EMTU;Informação;Horário;1
02/2017;RMC;EMTU;Informação;Horário;1
02/2017;RMSP;EMTU;Informação;Integração;16
02/2017;RMSP;EMTU;Informação;Isenção de Tarifa;2
02/2017;RMSP;EMTU;Informação;Itinerário;38
02/2017;RMC;EMTU;Informação;Itinerário;3
02/2017;RMBS;EMTU;Informação;Itinerário;2
02/2017;RMVPLN;EMTU;Informação;Itinerário;1
02/2017;RMS;EMTU;Informação;Itinerário;1
02/2017;RMSP;EMTU;Informação;Passe Desempregado;4
02/2017;RMBS;EMTU;Informação;Passe Desempregado;1
02/2017;RMSP;EMTU;Informação;Passe Escolar;1647
02/2017;RMBS;EMTU;Informação;Passe Escolar;548
02/2017;RMS;EMTU;Informação;Passe Escolar;297
02/2017;RMC;EMTU;Informação;Passe Escolar;202
02/2017;RMVPLN;EMTU;Informação;Passe Escolar;54
02/2017;RMSP;EMTU;Informação;Passe Idoso;6
02/2017;RMSP;EMTU;Informação;Serviços;97
